ID,lat,lng
cotedivoire-33,9.26372,-5.37061
cotedivoire-30,9.03582,-5.33081
cotedivoire-109,5.33294,-4.08286
cotedivoire-539,5.50071,-4.0504
cotedivoire-627,8.22275,-8.07171
cotedivoire-632,6.95619,-3.41509
cotedivoire-104,5.33645,-4.0991
cotedivoire-69,5.34768,-4.02525
cotedivoire-437,6.31865,-6.42237
cotedivoire-469,10.37137,-6.15289
cotedivoire-393,5.3156,-4.24529
cotedivoire-482,8.26843,-6.907
cotedivoire-156,6.64629,-5.12641
cotedivoire-580,6.46887,-4.36511
cotedivoire-597,8.53508,-3.44289
cotedivoire-578,7.17251,-6.51457
cotedivoire-49,6.38192,-3.34957
cotedivoire-138,10.08025,-7.50553
cotedivoire-57,6.23827,-3.41534
cotedivoire-517,10.16574,-6.34283
cotedivoire-319,5.24748,-4.99728
cotedivoire-644,6.74135,-3.49616
cotedivoire-395,5.2095,-4.40817
cotedivoire-576,7.17034,-6.48361
cotedivoire-583,6.34641,-4.65665
cotedivoire-431,5.29877,-3.96464
cotedivoire-540,5.48862,-4.04609
cotedivoire-530,5.31437,-4.003339
cotedivoire-360,7.1805,-4.05814
cotedivoire-258,7.03907,-3.57772
cotedivoire-429,5.33468,-4.17724
cotedivoire-641,8.01545,-7.32147
cotedivoire-154,6.55878,-5.01777
cotedivoire-614,5.32574,-3.95405
cotedivoire-4,6.3248,-3.44416
cotedivoire-143,10.18133,-5.13526
cotedivoire-563,8.39204,-3.56624
cotedivoire-347,7.22102,-4.42043
cotedivoire-246,5.40669,-4.00208
cotedivoire-479,6.59275,-6.38148
cotedivoire-611,5.33681,-4.00262
cotedivoire-103,5.36731,-4.09949
cotedivoire-595,8.44356,-3.40281
cotedivoire-119,7.55483,-3.23118
cotedivoire-535,5.49158,-4.04884
cotedivoire-412,5.20876,-4.4086
cotedivoire-281,6.49092,-4.22442
cotedivoire-462,10.25971,-6.21211
cotedivoire-158,6.50503,-8.3743
cotedivoire-174,6.3434,-8.25298
cotedivoire-196,6.55914,-5.01027
cotedivoire-147,7.55896,-2.97043
cotedivoire-83,7.12047,-3.19959
cotedivoire-581,6.70481,-4.12037
cotedivoire-163,6.56517,-8.32401
cotedivoire-550,9.32206,-6.36105
cotedivoire-148,10.0614,-5.10784
cotedivoire-128,10.22003,-5.31407
cotedivoire-208,9.39557,-5.18252
cotedivoire-370,6.3849,-5.36194
cotedivoire-465,10.4135,-6.22142
cotedivoire-524,5.48784,-4.035
cotedivoire-93,6.83551,-3.28111
cotedivoire-316,5.43917,-4.02393
cotedivoire-204,5.3263,-4.05419
cotedivoire-436,8.79388,-6.5984
cotedivoire-548,9.30182,-6.37519
cotedivoire-173,6.37144,-8.27238
cotedivoire-240,6.57021,-8.08926
cotedivoire-287,7.68142,-4.34641
cotedivoire-349,7.53983,-4.29191
cotedivoire-31,8.17208,-2.77785
cotedivoire-135,10.09388,-7.47107
cotedivoire-48,6.20023,-3.2949
cotedivoire-305,5.4481,-4.02844
cotedivoire-608,7.30363,-6.45127
cotedivoire-353,7.25029,-4.40056
cotedivoire-172,6.57839,-5.0607
cotedivoire-444,7.89967,-6.65918
cotedivoire-378,6.57547,-5.84152
cotedivoire-554,9.41333,-6.29597
cotedivoire-22,8.21562,-2.63513
cotedivoire-193,5.32681,-4.06489
cotedivoire-182,5.36731,-4.06471
cotedivoire-79,9.61934,-7.60799
cotedivoire-388,5.30451,-4.37708
cotedivoire-432,5.28899,-3.96274
cotedivoire-598,8.5414,-3.44295
cotedivoire-70,10.00055,-6.02588
cotedivoire-516,10.28501,-6.15562
cotedivoire-534,5.64783,-4.56912
cotedivoire-594,8.44359,-3.40287
cotedivoire-149,6.54992,-4.85478
cotedivoire-564,9.34897,-6.12785
cotedivoire-215,6.41193,-8.02128
cotedivoire-282,7.58323,-3.7877
cotedivoire-227,7.10038,-4.87074
cotedivoire-435,5.29699,-4.48581
cotedivoire-17,9.26459,-5.37421
cotedivoire-99,7.09533,-3.18361
cotedivoire-593,5.39318,-3.99337
cotedivoire-116,7.48646,-3.25237
cotedivoire-495,5.72793,-4.43515
cotedivoire-46,9.52466,-7.1942
cotedivoire-175,6.58447,-5.06528
cotedivoire-23,5.3559,-4.04665
cotedivoire-61,8.40017,-3.11345
cotedivoire-638,6.74487,-3.50774
cotedivoire-218,6.56431,-8.00146
cotedivoire-341,7.21286,-4.3516
cotedivoire-55,9.626,-7.73627
cotedivoire-446,8.6972,-6.61978
cotedivoire-635,8.25502,-8.03414
cotedivoire-200,5.32737,-4.0471
cotedivoire-183,9.07133,-4.29365
cotedivoire-142,5.28271,-4.09086
cotedivoire-3,6.25972,-3.39708
cotedivoire-295,7.10137,-4.08348
cotedivoire-253,7.11241,-4.26204
cotedivoire-150,6.42481,-4.82209
cotedivoire-496,5.27874,-3.97678
cotedivoire-292,7.45406,-4.33842
cotedivoire-289,7.54044,-4.29195
cotedivoire-396,5.26004,-3.96268
cotedivoire-559,9.27561,-6.24086
