ID,Num,country,lat,lng,Nex,Npos
cotedivoire-591,591,cotedivoire,5.36709,-3.9991,30,1
cotedivoire-516,516,cotedivoire,10.28501,-6.15562,32,0
cotedivoire-386,386,cotedivoire,5.3086,-3.95022,31,0
cotedivoire-72,72,cotedivoire,9.42956,-6.01747,30,1
cotedivoire-14,14,cotedivoire,9.60649,-7.55302,30,0
cotedivoire-404,404,cotedivoire,5.24151,-4.24898,31,0
cotedivoire-174,174,cotedivoire,6.3434,-8.25298,30,3
cotedivoire-385,385,cotedivoire,5.25697,-4.36421,30,0
cotedivoire-1,1,cotedivoire,6.14522,-3.3865,30,0
cotedivoire-429,429,cotedivoire,5.33468,-4.17724,30,0
cotedivoire-8,8,cotedivoire,9.28261,-7.73711,30,0
cotedivoire-284,284,cotedivoire,6.47398,-4.29087,36,0
cotedivoire-156,156,cotedivoire,6.64629,-5.12641,30,0
cotedivoire-126,126,cotedivoire,5.33285,-4.11426,30,0
cotedivoire-422,422,cotedivoire,9.03233,-6.4635,34,1
cotedivoire-224,224,cotedivoire,7.12654,-4.89671,30,0
cotedivoire-408,408,cotedivoire,5.31577,-4.72392,32,0
cotedivoire-381,381,cotedivoire,5.28621,-4.30518,30,2
cotedivoire-58,58,cotedivoire,7.83315,-3.25457,30,0
cotedivoire-295,295,cotedivoire,7.10137,-4.08348,30,0
cotedivoire-550,550,cotedivoire,9.32206,-6.36105,32,0
cotedivoire-428,428,cotedivoire,5.28277,-3.9665,30,0
cotedivoire-297,297,cotedivoire,7.60431,-3.72879,30,0
cotedivoire-198,198,cotedivoire,9.35875,-5.11808,30,0
cotedivoire-45,45,cotedivoire,6.07718,-3.40773,30,0
cotedivoire-617,617,cotedivoire,6.52834,-3.63093,30,9
cotedivoire-177,177,cotedivoire,5.36612,-4.07177,30,0
cotedivoire-50,50,cotedivoire,6.32416,-3.44381,30,0
cotedivoire-498,498,cotedivoire,5.31278,-3.96297,34,0
cotedivoire-405,405,cotedivoire,5.31831,-4.37808,29,0
cotedivoire-353,353,cotedivoire,7.25029,-4.40056,31,0
cotedivoire-601,601,cotedivoire,7.42171,-6.23392,32,0
cotedivoire-240,240,cotedivoire,6.57021,-8.08926,30,7
cotedivoire-534,534,cotedivoire,5.64783,-4.56912,31,1
cotedivoire-335,335,cotedivoire,5.44245,-4.02253,29,0
cotedivoire-52,52,cotedivoire,9.65065,-7.62223,30,2
cotedivoire-81,81,cotedivoire,7.26239,-3.41762,30,1
cotedivoire-3,3,cotedivoire,6.25972,-3.39708,30,0
cotedivoire-448,448,cotedivoire,6.28088,-6.36063,32,0
cotedivoire-89,89,cotedivoire,6.97737,-3.17026,30,0
cotedivoire-31,31,cotedivoire,8.17208,-2.77785,30,0
cotedivoire-23,23,cotedivoire,5.3559,-4.04665,30,8
cotedivoire-497,497,cotedivoire,5.30545,-3.94427,30,0
cotedivoire-598,598,cotedivoire,8.5414,-3.44295,31,0
cotedivoire-602,602,cotedivoire,6.7021,-4.29208,30,2
cotedivoire-65,65,cotedivoire,7.82293,-3.1141,30,0
cotedivoire-528,528,cotedivoire,5.27502,-3.96615,30,0
cotedivoire-423,423,cotedivoire,8.21413,-5.66478,31,0
cotedivoire-445,445,cotedivoire,6.49556,-6.57631,33,1
cotedivoire-393,393,cotedivoire,5.3156,-4.24529,35,2
cotedivoire-16,16,cotedivoire,8.04405,-2.80698,30,0
cotedivoire-532,532,cotedivoire,5.6454,-4.58122,30,0
cotedivoire-518,518,cotedivoire,10.20487,-6.30436,33,1
cotedivoire-569,569,cotedivoire,6.67602,-3.9692,30,0
cotedivoire-559,559,cotedivoire,9.27561,-6.24086,31,0
cotedivoire-313,313,cotedivoire,5.43382,-4.05803,31,2
cotedivoire-363,363,cotedivoire,7.66952,-6.09823,31,0
cotedivoire-491,491,cotedivoire,5.66993,-4.57594,30,5
cotedivoire-523,523,cotedivoire,8.82159,-2.96255,30,1
cotedivoire-565,565,cotedivoire,9.35979,-6.18574,32,3
cotedivoire-145,145,cotedivoire,10.07056,-5.07499,30,1
cotedivoire-41,41,cotedivoire,8.23364,-2.57725,30,0
cotedivoire-630,630,cotedivoire,8.28439,-7.68611,33,17
cotedivoire-192,192,cotedivoire,5.34199,-4.07009,30,1
cotedivoire-530,530,cotedivoire,5.31437,-4.003339,30,0
cotedivoire-244,244,cotedivoire,5.40216,-4.00284,30,0
cotedivoire-443,443,cotedivoire,8.12262,-6.54219,30,1
cotedivoire-253,253,cotedivoire,7.11241,-4.26204,34,3
cotedivoire-514,514,cotedivoire,9.87175,-3.42,30,2
cotedivoire-141,141,cotedivoire,5.3265,-4.09575,30,0
cotedivoire-252,252,cotedivoire,5.43916,-4.02409,30,0
cotedivoire-201,201,cotedivoire,5.34947,-4.05727,30,0
cotedivoire-618,618,cotedivoire,6.64323,-3.36087,30,0
cotedivoire-436,436,cotedivoire,8.79388,-6.5984,35,0
cotedivoire-49,49,cotedivoire,6.38192,-3.34957,32,0
cotedivoire-387,387,cotedivoire,5.30458,-4.37763,28,0
cotedivoire-612,612,cotedivoire,5.34691,-3.99918,30,0
cotedivoire-61,61,cotedivoire,8.40017,-3.11345,30,0
cotedivoire-184,184,cotedivoire,9.35249,-5.12225,32,0
cotedivoire-280,280,cotedivoire,6.72501,-4.85418,32,0
cotedivoire-113,113,cotedivoire,7.81187,-3.52352,32,0
cotedivoire-199,199,cotedivoire,9.35245,-5.122225,32,0
cotedivoire-389,389,cotedivoire,5.24552,-3.91136,31,0
cotedivoire-453,453,cotedivoire,7.96677,-6.68517,30,1
cotedivoire-466,466,cotedivoire,9.85272,-3.39256,30,0
cotedivoire-190,190,cotedivoire,5.33753,-4.07251,30,0
cotedivoire-457,457,cotedivoire,8.04402,-6.40905,30,0
cotedivoire-111,111,cotedivoire,10.17715,-5.38187,32,0
cotedivoire-109,109,cotedivoire,5.33294,-4.08286,30,0
cotedivoire-623,623,cotedivoire,8.29095,-7.29851,33,13
cotedivoire-226,226,cotedivoire,6.50716,-8.1078,32,8
cotedivoire-425,425,cotedivoire,5.30547,-3.9443,30,0
cotedivoire-143,143,cotedivoire,10.18133,-5.13526,32,0
